Date,Close,Open,High,Low,Volume,Change
2019-05-02,2212.75,2192.94,2217.03,2191.3,369060000.0,0.0042
2019-05-03,2196.32,2209.44,2211.36,2192.36,617880000.0,-0.0074
2019-05-07,2176.99,2172.39,2179.51,2160.44,484100000.0,-0.0088
2019-05-08,2168.01,2151.34,2179.34,2151.34,456330000.0,-0.0040999999999999995
2019-05-09,2102.01,2159.79,2164.98,2102.01,743510000.0,-0.0304
2019-05-10,2108.04,2118.42,2124.92,2090.39,714770000.0,0.0029
2019-05-13,2079.01,2091.8,2101.09,2077.72,505750000.0,-0.0138
2019-05-14,2081.84,2060.24,2093.41,2056.74,696200000.0,0.0014000000000000002
2019-05-15,2092.78,2081.92,2100.01,2076.46,577790000.0,0.0053
2019-05-16,2067.69,2094.88,2095.58,2062.44,745160000.0,-0.012
2019-05-17,2055.8,2081.57,2082.83,2053.79,537380000.0,-0.0058
2019-05-20,2055.71,2066.53,2077.1,2051.69,640200000.0,-0.0
2019-05-21,2061.25,2056.95,2076.47,2053.69,526860000.0,0.0027
2019-05-22,2064.86,2068.65,2070.8,2048.01,509970000.0,0.0018
2019-05-23,2059.59,2063.25,2065.86,2046.82,509270000.0,-0.0026
2019-05-24,2045.31,2047.3,2057.38,2035.98,480650000.0,-0.0069
2019-05-27,2044.21,2044.25,2055.13,2035.87,351620000.0,-0.0005
2019-05-28,2048.83,2044.77,2058.42,2038.52,494480000.0,0.0023
2019-05-29,2023.32,2046.71,2046.71,2016.25,380890000.0,-0.0125
2019-05-30,2038.8,2024.33,2040.66,2023.91,461850000.0,0.0077
2019-05-31,2041.74,2029.03,2048.9,2022.97,439180000.0,0.0014000000000000002
2019-06-03,2067.85,2031.03,2070.58,2029.17,387140000.0,0.0128
2019-06-04,2066.97,2066.78,2072.19,2060.98,435990000.0,-0.0004
2019-06-05,2069.11,2084.16,2086.49,2065.71,380160000.0,0.001
2019-06-07,2072.33,2070.78,2081.16,2057.97,368390000.0,0.0016
2019-06-10,2099.49,2087.37,2099.65,2075.51,457640000.0,0.0131
2019-06-11,2111.81,2096.09,2114.57,2094.6,550740000.0,0.0059
2019-06-12,2108.75,2111.66,2118.89,2104.41,693510000.0,-0.0014000000000000002
2019-06-13,2103.15,2104.46,2108.01,2081.92,553390000.0,-0.0027
2019-06-14,2095.41,2096.32,2103.02,2087.47,473370000.0,-0.0037
2019-06-17,2090.73,2091.71,2103.59,2087.25,561550000.0,-0.0022
2019-06-18,2098.71,2089.31,2103.02,2089.31,600960000.0,0.0038
2019-06-19,2124.78,2119.54,2126.74,2117.64,862980000.0,0.0124
2019-06-20,2131.29,2121.78,2131.77,2120.42,1010000000.0,0.0031
2019-06-21,2125.62,2132.38,2132.68,2120.15,692030000.0,-0.0027
2019-06-24,2126.33,2130.32,2134.48,2123.88,669640000.0,0.0003
2019-06-25,2121.64,2125.74,2136.24,2115.11,643000000.0,-0.0022
2019-06-26,2121.85,2120.2,2128.25,2115.72,736850000.0,0.0001
2019-06-27,2134.32,2120.73,2141.27,2118.22,644900000.0,0.0059
2019-06-28,2130.62,2135.06,2139.24,2123.97,537270000.0,-0.0017000000000000001
2019-07-01,2129.74,2147.24,2147.24,2126.87,412290000.0,-0.0004
2019-07-02,2122.02,2122.07,2130.86,2112.52,460830000.0,-0.0036
2019-07-03,2096.02,2120.75,2127.71,2093.32,522710000.00000006,-0.0123
2019-07-04,2108.73,2102.36,2108.8,2088.97,446930000.0,0.0060999999999999995
2019-07-05,2110.59,2111.0,2115.43,2096.23,459390000.0,0.0009
2019-07-08,2064.17,2091.91,2092.54,2063.78,515950000.00000006,-0.022000000000000002
2019-07-09,2052.03,2070.35,2075.3,2052.03,440120000.0,-0.0059
2019-07-10,2058.78,2061.55,2068.2,2056.48,355680000.0,0.0033
2019-07-11,2080.58,2070.59,2088.24,2070.21,376680000.0,0.0106
2019-07-12,2086.66,2083.53,2090.43,2077.35,403940000.0,0.0029
2019-07-15,2082.48,2083.39,2088.34,2073.1,463520000.0,-0.002
2019-07-16,2091.87,2084.46,2096.67,2078.74,682800000.0,0.0045000000000000005
2019-07-17,2072.92,2079.91,2080.01,2063.49,761630000.0,-0.0091
2019-07-18,2066.55,2068.66,2073.2,2061.33,446640000.0,-0.0031
2019-07-19,2094.36,2080.21,2096.73,2076.51,394900000.0,0.013500000000000002
2019-07-22,2093.34,2090.35,2099.34,2087.51,332630000.0,-0.0005
2019-07-23,2101.45,2095.76,2106.39,2095.38,648120000.0,0.0039000000000000003
2019-07-24,2082.3,2097.16,2105.68,2080.66,851390000.0,-0.0091
2019-07-25,2074.48,2085.67,2088.81,2061.08,598630000.0,-0.0038
2019-07-26,2066.26,2063.35,2068.16,2054.64,589070000.0,-0.004
2019-07-29,2029.48,2059.13,2063.13,2025.01,608670000.0,-0.0178
2019-07-30,2038.68,2035.32,2044.59,2032.61,547030000.0,0.0045000000000000005
2019-07-31,2024.55,2036.46,2041.16,2010.95,589390000.0,-0.0069
2019-08-01,2017.34,2015.09,2032.23,2009.33,461740000.0,-0.0036
2019-08-02,1998.13,1995.31,2005.31,1987.12,438540000.0,-0.0095
2019-08-05,1946.98,1985.93,1987.64,1945.39,639600000.0,-0.0256
2019-08-06,1917.5,1900.36,1948.53,1891.81,739590000.0,-0.0151
2019-08-07,1909.71,1925.33,1929.29,1901.61,760780000.0,-0.0040999999999999995
2019-08-08,1920.61,1926.28,1937.95,1915.81,777160000.0,0.005699999999999999
2019-08-09,1937.75,1940.06,1946.94,1936.14,654340000.0,0.0089
2019-08-12,1942.29,1941.53,1949.19,1933.25,427140000.0,0.0023
2019-08-13,1925.83,1928.76,1937.68,1923.58,660040000.0,-0.0085
2019-08-14,1938.37,1946.18,1952.22,1937.23,699590000.0,0.006500000000000001
